indicator,Type of disaster,Indicator,Country__ESTANDAR,Years__ESTANDAR,value,unit,notes_ids,source_id
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,1996,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2002,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2003,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2004,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2005,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2007,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2009,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2010,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2011,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2012,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2013,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2014,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2015,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2016,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2018,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Wildfires,Number of events,Dominican Republic,2005,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Dominican Republic,2022,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Dominican Republic,2022,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2022,1,Number,,742
