indicator,Type of disaster,Indicator,Country__ESTANDAR,Years__ESTANDAR,value,unit,notes_ids,source_id
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Cuba,2004,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Cuba,2005,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Cuba,2006,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Cuba,2007,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Cuba,2008,4,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Cuba,2012,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Cuba,2016,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Cuba,2017,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Cuba,2018,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Cuba,2019,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Cuba,2020,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Cuba,2021,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,1990,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,1992,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,1993,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,1994,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,1995,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,1996,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,1997,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2000,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2002,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2003,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2006,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2007,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2008,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2012,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2013,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2015,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Cuba,1993,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Cuba,1998,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Cuba,2000,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Cuba,2004,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Cuba,2015,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Wildfires,Number of events,Cuba,1999,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2022,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Cuba,2022,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2022,1,Number,,742
